tos_2026_00001,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"We collect personal data to provide and improve our services."
tos_2026_00002,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"User information may be processed for customer support and service analytics."
tos_2026_00003,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"We may share personal information with trusted service providers."
tos_2026_00004,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Personal data is retained only as long as necessary for business purposes."
tos_2026_00005,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"We process data in accordance with applicable data protection laws."
tos_2026_00006,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Users may contact support to request access or deletion of personal data."
tos_2026_00007,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"We use analytics tools to understand usage patterns and improve features."
tos_2026_00008,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Marketing communications may be sent with user consent where required."
tos_2026_00009,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Payment information is processed securely through third-party providers."
tos_2026_00010,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"We implement security measures to protect personal information."
tos_2026_00011,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Data transfers may occur across regions with appropriate safeguards."
tos_2026_00012,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Users may opt out of marketing communications at any time."
tos_2026_00013,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"We do not knowingly collect data from children under applicable age limits."
tos_2026_00014,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Cookies are used to improve user experience and service functionality."
tos_2026_00015,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Third-party analytics providers may process usage data on our behalf."
tos_2026_00016,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Personal data may be disclosed to comply with legal obligations."
tos_2026_00017,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"We maintain internal policies governing access to personal data."
tos_2026_00018,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Data retention periods are defined based on legal and operational needs."
tos_2026_00019,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Users may request correction of inaccurate personal information."
tos_2026_00020,terms_of_service,EU|US-CA,controller,customer_support|analytics|marketing,"Security incidents are handled in accordance with incident response policies."
